,EDGE,max,mean,median,min,rmse,sse,std
edge0.1.txt,0.1,2.858978705,2.836114832,2.834748018,2.828016576,2.836121007,1447.844826,0.005918298
edge0.2.txt,0.2,2.858871448,2.835961473,2.834424399,2.82797582,2.835967918,1447.688525,0.006046014
edge0.3.txt,0.3,2.859924768,2.835483379,2.834117109,2.827978144,2.835489156,1423.07978,0.005723906
edge0.4.txt,0.4,2.859924768,2.835483379,2.834117109,2.827978144,2.835489156,1423.07978,0.005723906
edge0.5.txt,0.5,2.859500666,2.835923893,2.834482007,2.827955638,2.835930297,1423.522615,0.006027005
edge0.6.txt,0.6,2.860774377,2.83483881,2.832247048,2.827906375,2.834846552,1157.235116,0.006625228
edge0.7.txt,0.7,2.858096182,2.83591966,2.834647883,2.828106978,2.835926236,1351.136239,0.006106872
edge0.8.txt,0.8,2.859105394,2.83627285,2.835219351,2.82839159,2.836280441,941.2049484,0.006561779
edge0.9.txt,0.9,2.861062146,2.834966302,2.832953481,2.827823962,2.834974105,1302.006665,0.006651476
edg1.txt,1,2.859023644,2.835748128,2.834234309,2.828007389,2.835754521,1455.51217,0.006021281
edge1.1.txt,1.1,2.859705339,2.835808171,2.834240195,2.828016305,2.835814261,1407.322442,0.005877324
edge1.2.txt,1.2,2.860685082,2.835951757,2.834135807,2.828068506,2.835958243,1359.209397,0.006065138
edge1.3.txt,1.3,2.864481808,2.83584197,2.834325232,2.828103709,2.835849145,1407.357066,0.006379422
edge1.4.txt,1.4,2.858230877,2.835530069,2.833799845,2.827955735,2.835536173,1358.80485,0.005883284
edge1.5.txt,1.5,2.861610565,2.835042104,2.832649432,2.8279112,2.835050143,1221.701416,0.006751393
edge1.6.txt,1.6,2.858036381,2.835960027,2.834476204,2.828016525,2.835966778,1375.302994,0.006188225
edge1.7.txt,1.7,2.860695693,2.835781858,2.834139787,2.827998942,2.835788867,1351.005348,0.006305079
edge1.8.txt,1.8,2.8589747,2.835581016,2.834434721,2.828018963,2.8355873,1334.732186,0.005969872
edge1.9.txt,1.9,2.858839108,2.83591102,2.834515467,2.827957636,2.83591747,1447.637021,0.006048375
edge2.txt,2,2.866575219,2.834738869,2.83272525,2.82794226,2.83474636,1261.618548,0.006517212
edge3.txt,3,2.859960707,2.83552666,2.834465626,2.827997693,2.835532482,1407.04278,0.005746073
edge4.txt,4,2.858996849,2.835040229,2.833542374,2.827995706,2.835046464,1318.148106,0.00594602
edge5.txt,5,2.857536402,2.835880964,2.834015398,2.827912911,2.835888405,1029.40967,0.006496407
